,age,10yr_AR,rr,log_rr,p_above_threshold,p_case,rr_low,rr_high
45,45,0.005,8.143970854968469,2.09727788108964,0.001560137774516801,0.016544058415891905,0.9849926658497222,10.604229117531531
46,46,0.006,6.783234283651794,1.9144540211952308,0.003129195172411392,0.028111317563592975,0.9749394582826585,8.983561591631272
47,47,0.008,5.082310993695393,1.6257660781644285,0.008566489378895814,0.059472112393865184,0.9486545265319118,6.942413602984108
48,48,0.009,4.515335416596617,1.5074794734997985,0.012532549816228866,0.07842042931642912,0.9332758973595147,6.257340323106442
49,49,0.011,3.690641786254507,1.3058003687433244,0.022976427103717945,0.12075819692277356,0.8999187199453212,5.255743043844837
50,50,0.013,3.119697913703816,1.137736174602959,0.03656501463128914,0.16667275248130342,0.8649543146907609,4.558257508221519
51,51,0.015,2.70100389021596,0.9936235150967275,0.05291150948346246,0.213995273195409,0.8299168817645622,4.0443993241639316
52,52,0.018,2.2474157967458126,0.8097810213651614,0.08161135826837607,0.28444291225601137,0.7791440956791496,3.4853348638143102
53,53,0.02,2.020620002986183,0.7034043964904484,0.10287945097576867,0.3297177909520399,0.747148429246219,3.2048945423483914
54,54,0.023,1.754379174441649,0.5621150475777905,0.13698293096960135,0.39382861765576527,0.7023863189928207,2.875019645645938
55,55,0.026,1.549576098292534,0.43798140855476164,0.1727276808927638,0.4527090169364525,0.661560855383346,2.620940746709337
56,56,0.03,1.3402185378837916,0.2928326886384011,0.22141521967088762,0.522806569712413,0.612898482405313,2.361204304245727
57,57,0.033,1.2165049872902094,0.19598198293727767,0.2578546288874476,0.5693216883128029,0.5803152973137404,2.207917270165855
58,58,0.037,1.0827578995229925,0.07951139688186798,0.3054699413848688,0.6239565550631446,0.5414358101169486,2.042611957937318
59,59,0.041,0.9751049948068619,-0.02521012680071985,0.35132756119900743,0.6710745762039461,0.5070747639656779,1.910110820550796
60,60,0.045,0.8865878082737834,-0.12037510786681016,0.3949908786464702,0.7116757291707916,0.4765618577521075,1.8017523128876216
61,61,0.049,0.8125200266926194,-0.20761471684493732,0.43622756714432387,0.746680569205265,0.44932922582183776,1.7116767151907877
62,62,0.052,0.7644457070139767,-0.2686042737752103,0.4655026678611236,0.7697552598586939,0.4307687359634613,1.653600103723444
63,63,0.056,0.708357156841455,-0.34480685366937613,0.5023254877251846,0.796857879282439,0.40818268910139827,1.5863377406769952
64,64,0.059,0.6712803549620208,-0.39856841263661597,0.5283109245851259,0.814779005603566,0.39267603184051464,1.542233877225611
65,65,0.062,0.6377905486249034,-0.44974534322889215,0.5529372283329643,0.830894712341879,0.3782584871192711,1.5026926561753153
66,66,0.065,0.6073910719430269,-0.49858242528815355,0.5762500871093879,0.8454067686649778,0.3648218598570646,1.4670831077974253
67,67,0.067,0.5886366045747053,-0.5299462558967512,0.5910876352815959,0.8542792868652593,0.35636171881251544,1.445266718290052
68,68,0.069,0.5709689149982271,-0.5604205103908043,0.6053805722154169,0.8625659233435459,0.3482699202824787,1.4248325151680172
69,69,0.071,0.5542961614621401,-0.5900561475990461,0.6191456094792378,0.8703102104719481,0.34052328857419817,1.4056632190349607
70,70,0.071,0.5542961614621401,-0.5900561475990461,0.6191456094792378,0.8703102104719481,0.34052328857419817,1.4056632190349607
71,71,0.072,0.5463069754908811,-0.6045742350533777,0.6258354610981496,0.8739916061168702,0.3367726782793382,1.396519789056508
72,72,0.072,0.5463069754908811,-0.6045742350533777,0.6258354610981496,0.8739916061168702,0.3367726782793382,1.396519789056508
73,73,0.071,0.5542961614621401,-0.5900561475990461,0.6191456094792378,0.8703102104719481,0.34052328857419817,1.4056632190349607
74,74,0.07,0.5625135013270774,-0.5753401428323651,0.6123280219979019,0.8665032808661238,0.3443548327167296,1.4150965654632295
75,75,0.069,0.5709689149982271,-0.5604205103908043,0.6053805722154169,0.8625659233435459,0.3482699202824787,1.4248325151680172
76,76,0.067,0.5886366045747053,-0.5299462558967512,0.5910876352815959,0.8542792868652593,0.35636171881251544,1.445266718290052
77,77,0.065,0.6073910719430269,-0.49858242528815355,0.5762500871093879,0.8454067686649778,0.3648218598570646,1.4670831077974253
78,78,0.063,0.6273358212908703,-0.46627328158685044,0.5608516659900796,0.8359010000459468,0.3736755607282941,1.4904136882081265
79,79,0.06,0.6597451017248395,-0.4159017280675844,0.5366686046132543,0.8203410225542522,0.38775481056228717,1.5285802364858367
