,age,10yr_AR,rr,log_rr,p_above_threshold,p_case,rr_low,rr_high
45,45,0.005,16.634596153871737,2.8114846322819576,6.625762833589732e-05,0.001362737821405502,0.9987034338995356,20.567259282161665
46,46,0.006,13.855202202351439,2.628660772387548,0.0001590902464748689,0.0027566175184423614,0.9974020594210254,17.32738228473244
47,47,0.008,10.38095450168857,2.339972829356746,0.0005771378143999417,0.007647379637677809,0.9929256753164359,13.250526038791786
48,48,0.009,9.222869591746562,2.221686224692116,0.0009465788269399367,0.01124822114101165,0.9896885971302958,11.883026348026887
49,49,0.011,7.538378606241372,2.020007119935642,0.0021053560449788566,0.020809599110588106,0.9812562947612611,9.884123476510164
50,50,0.013,6.372188191817898,1.8519429257952764,0.003928881006240337,0.03336411591545074,0.9704486613978466,8.492014866944993
51,51,0.015,5.516978108580544,1.707830266289045,0.00650749297723674,0.04858431512363948,0.9576475697109221,7.465903581239009
52,52,0.018,4.5904945921915665,1.5239877725574789,0.01189768507936495,0.07553018890059116,0.9356013007354029,6.348309641477134
53,53,0.02,4.12724926558451,1.417611147682766,0.016527418609198485,0.09564109268101584,0.9195568076133481,5.786813714985468
54,54,0.023,3.5834348608695654,1.2763217987701079,0.024993331924585527,0.1280919520266881,0.894258548707558,5.125045048542974
55,55,0.026,3.165111106587864,1.152188159747079,0.035183270114455434,0.1623309928746115,0.8682156736904433,4.61386881738193
56,56,0.03,2.737484518627448,1.0070394398307185,0.05117928601537802,0.2092851444683873,0.8333659287548272,4.089254867789728
57,57,0.033,2.484791454085067,0.9101887341295952,0.06475000104824424,0.2446396981008424,0.8076560307359298,3.778219214522716
58,58,0.037,2.211604229893717,0.7937181480741855,0.08459127153212131,0.2910862760333732,0.7744231641237865,3.441091152328179
59,59,0.041,1.9917160909704836,0.6889966243915976,0.1060445176235596,0.33606716931834735,0.7426911560704247,3.1691140367230477
60,60,0.045,1.8109139151183458,0.5938316433255073,0.12872533498908645,0.37911114210319263,0.7126212695384987,2.945116764585109
61,61,0.049,1.6596255993130193,0.5065920343473801,0.15229414823202903,0.4199495609778041,0.6842590950769606,2.757489804125543
62,62,0.052,1.5614306392047732,0.4456024774171072,0.17037536998173775,0.4490500274605793,0.6640954868074406,2.6356510774339754
63,63,0.056,1.446866086164058,0.36939989752294133,0.19481908301879924,0.4857796780834568,0.6386394797388736,2.4934912461146377
64,64,0.059,1.3711342795398695,0.31563833855570156,0.2132839866844214,0.5117841793236746,0.6205744034861603,2.399543384759209
65,65,0.062,1.3027291472511835,0.26446140796342543,0.2317739917381132,0.5364936626353429,0.6033463230610238,2.3147276301887207
66,66,0.065,1.2406362165546607,0.2156243259041638,0.2502213148022272,0.5599441665461327,0.5869143017019638,2.23779563698923
67,67,0.067,1.20232898335003,0.18426049529556635,0.26246668077127533,0.5748994685488131,0.5763814601565874,2.1903712382060605
68,68,0.069,1.1662415652697717,0.1537862408015131,0.2746518730935973,0.5893282598035376,0.5661719179560996,2.1457281654973577
69,69,0.071,1.1321863694955088,0.12415060359327144,0.2867633107850971,0.6032451571104458,0.5562737431893515,2.1036343717014865
70,70,0.071,1.1321863694955088,0.12415060359327144,0.2867633107850971,0.6032451571104458,0.5562737431893515,2.1036343717014865
71,71,0.072,1.1158679316478348,0.10963251613893987,0.2927875214925042,0.610016334661484,0.5514377604896611,2.083477914468091
72,72,0.072,1.1158679316478348,0.10963251613893987,0.2927875214925042,0.610016334661484,0.5514377604896611,2.083477914468091
73,73,0.071,1.1321863694955088,0.12415060359327144,0.2867633107850971,0.6032451571104458,0.5562737431893515,2.1036343717014865
74,74,0.07,1.1489708266782048,0.13886660835995243,0.280717602897945,0.5963497628102876,0.5611846457191147,2.1243760870496278
75,75,0.069,1.1662415652697717,0.1537862408015131,0.2746518730935973,0.5893282598035376,0.5661719179560996,2.1457281654973577
76,76,0.067,1.20232898335003,0.18426049529556635,0.26246668077127533,0.5748994685488131,0.5763814601565874,2.1903712382060605
77,77,0.065,1.2406362165546607,0.2156243259041638,0.2502213148022272,0.5599441665461327,0.5869143017019638,2.23779563698923
78,78,0.063,1.2813746789951501,0.2479334696054671,0.23793090518303095,0.5444483745758799,0.5977825744705377,2.2882625279681807
79,79,0.06,1.347572766053351,0.298305023124733,0.21944808727025122,0.520162961795746,0.614740711512917,2.370323515990199
