,age,10yr_AR,rr,log_rr,p_above_threshold,p_case,rr_low,rr_high
45,45,0.005,21.019378863422148,3.0454448152225795,2.0176002932137393e-05,0.000517503663886254,0.999502662304759,25.649464149410242
46,46,0.006,17.50735284624039,2.8626209553281705,5.1429177804651616e-05,0.0011099141926548262,0.998941460545336,21.58141039840691
47,47,0.008,13.117313676662533,2.573933012297368,0.00020492178066178202,0.0033738929374860227,0.9968303793188618,16.464296409050554
48,48,0.009,11.653964326133366,2.455646407632738,0.0003491837358747807,0.005149904296095853,0.9951976025206859,14.74840826476133
49,49,0.011,9.525451322942008,2.253967302876264,0.0008285983062926716,0.010142712756556871,0.990678161490135,12.240807975987261
50,50,0.013,8.051859904135432,2.0859031087358986,0.0016313442076597573,0.017120653638029504,0.9844853808856039,10.494813760113763
51,51,0.015,6.971221421475256,1.941790449229667,0.00282806654385781,0.02604094635857035,0.9767212864342681,9.208038762428654
52,52,0.018,5.8005222435957355,1.757947955498101,0.0054774275079712,0.0427603677322792,0.9625117204420146,7.806651511142927
53,53,0.02,5.215168145630627,1.651571330623388,0.007864689560478477,0.05585951173623771,0.9516247212746644,7.102570458335967
54,54,0.023,4.528007429593088,1.51028198171073,0.012422749350517903,0.07792394889684673,0.9336748598621001,6.272681408773501
55,55,0.026,3.999415968911932,1.3861483426877013,0.018162871429823646,0.10228452949045064,0.9143221868344589,5.631517565141063
56,56,0.03,3.459069501749853,1.2409996227713407,0.027603491984067863,0.1372797825035883,0.8872103204655652,4.973275938523402
57,57,0.033,3.139768016421083,1.1441489170702173,0.03594651270699134,0.16473702770058907,0.8664072930691511,4.5828375354071245
58,58,0.037,2.7945702302645423,1.0276783310148077,0.04860288971335813,0.2021595196207584,0.838598805643696,4.159413582464345
59,59,0.041,2.516720857977588,0.9229568073322195,0.06281551329731339,0.23980220311149125,0.8111506407485751,3.817563377640147
60,60,0.045,2.2882602810923105,0.8277918262661295,0.07836497576447854,0.2770811806645963,0.7843873120328201,3.5357782984243875
61,61,0.049,2.0970932459502483,0.7405522172880022,0.09503669492621536,0.3135754364400035,0.758510935981023,3.299519587496781
62,62,0.052,1.9730146659894443,0.6795626603577292,0.10815470998389953,0.3402502638385442,0.7397580539440258,3.1459588203712587
63,63,0.056,1.828251563693094,0.6033600804635634,0.1263134496405507,0.3747225961876094,0.7156770395001971,2.966608838995015
64,64,0.059,1.7325572937077813,0.5495985214963235,0.14033919045318166,0.3996799724178641,0.69832196712399,2.8479569472163995
65,65,0.062,1.6461209667613201,0.49842159090404736,0.15463963104245293,0.42382629856421905,0.6815716972233834,2.740735319317121
66,66,0.065,1.567660701000877,0.4495845088447859,0.1691544810846869,0.4471398964704114,0.6654186499692019,2.6433819169505277
67,67,0.067,1.5192559041251685,0.4182206782361883,0.1789229003896402,0.4622144021576643,0.6549757606168052,2.5833160604433556
68,68,0.069,1.4736560527181894,0.3877464237421351,0.18874724843857493,0.4769137259120243,0.644788289569665,2.5267320708372023
69,69,0.071,1.4306241055866904,0.35811078653389344,0.19861360687599494,0.4912389126903344,0.6348511675203111,2.473339669003851
70,70,0.071,1.4306241055866904,0.35811078653389344,0.19861360687599494,0.4912389126903344,0.6348511675203111,2.473339669003851
71,71,0.072,1.4100042225184963,0.34359269907956186,0.20355845280803775,0.4982618987246149,0.6299747960718248,2.4477583310897537
72,72,0.072,1.4100042225184963,0.34359269907956186,0.20355845280803775,0.4982618987246149,0.6299747960718248,2.4477583310897537
73,73,0.071,1.4306241055866904,0.35811078653389344,0.19861360687599494,0.4912389126903344,0.6348511675203111,2.473339669003851
74,74,0.07,1.4518328479737341,0.3728267913005744,0.19367600844026978,0.48412296686905565,0.6397887679529992,2.4996537814251814
75,75,0.069,1.4736560527181894,0.3877464237421351,0.18874724843857493,0.4769137259120243,0.644788289569665,2.5267320708372023
76,76,0.067,1.5192559041251685,0.4182206782361883,0.1789229003896402,0.4622144021576643,0.6549757606168052,2.5833160604433556
77,77,0.065,1.567660701000877,0.4495845088447859,0.1691544810846869,0.4471398964704114,0.6654186499692019,2.6433819169505277
78,78,0.063,1.6191375849858622,0.48189365254608907,0.15945690687455993,0.43169072652178664,0.6761215196772792,2.7072563677745554
79,79,0.06,1.7027851024271718,0.5322652060653551,0.1450785753541115,0.4078202095157124,0.6926715992988134,2.8110298748129723
